created,text
2021-12-02 12:11:23,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:11:13,"RT @caption_king5: One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:10:15,"RT @caption_king5: One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:10:03,"@no_earthquake I mean I think you *might* see it to a degree in NYC, but even still I don't think it'd be to the same level"
2021-12-02 12:09:59,"USGS reports a M1.33 earthquake, 2km NE of San Jacinto, CA on 12/2/21 @ 12:07:42 UTC https://t.co/1RWNhaYQAx #earthquake"
2021-12-02 12:09:50,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:09:45,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:09:06,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:08:47,Superhero Rescue Dog Is The Ultimate Life-Saving Machine For Victims Of Deadly Earthquake in Mexico https://t.co/lEL8VT3qli
2021-12-02 12:08:33,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:06:56,@Imarbaaz51 @parvesribda @kiara_maxillus @dr_earthquake @MirAfsha1 @RealMashaKhan @drlamiya1 @umarkifatima… https://t.co/BmYHKJ1ff0
2021-12-02 12:06:49,@drlamiya1 @Imarbaaz51 @parvesribda @kiara_maxillus @dr_earthquake @MirAfsha1 @RealMashaKhan @umarkifatima… https://t.co/0t1sCkXVTj
2021-12-02 12:06:10,"@sitrucyrneh yeah the difference is surprisingly big, &amp; i haven’t had the experience in the other direction moving… https://t.co/4Z9dYN2CDR"
2021-12-02 12:06:08,"RT @UpdateDisaster: This is how quickly a wildfire 
Disaster update Today
@UpdateDisaster
#earthquake #deprem #terremoto #earth #earthquake…"
2021-12-02 12:06:05,"RT @caption_king5: One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:06:01,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
2021-12-02 12:06:01,"RT @caption_king5: @_dark_crusader One chest bump from karan gave earthquake to chomu random massss hai bro

PAPA KKUNDRRA RAAJ"
